stage,sent_at,latency,status,success
network-degrade-probe,2026-09-05T22:36:17.500298,2.2999376999941887,,False
network-degrade-probe,2026-09-05T22:36:18.491081,2.2896902000065893,,False
network-degrade-probe,2026-09-05T22:36:19.498995,2.3007669000071473,,False
network-degrade-probe,2026-09-05T22:36:20.489145,2.301189499994507,,False
network-degrade-probe,2026-09-05T22:36:21.492907,2.27367840000079,,False
network-degrade-probe,2026-09-05T22:36:22.491939,2.2755858000018634,,False
network-degrade-probe,2026-09-05T22:36:23.491925,2.27325589999964,,False
network-degrade-probe,2026-09-05T22:36:24.485991,2.2885657000006177,,False
network-degrade-probe,2026-09-05T22:36:25.497393,2.267610599999898,,False
network-degrade-probe,2026-09-05T22:36:26.494115,2.2896851999976207,,False
network-degrade-probe,2026-09-05T22:36:27.498061,2.293118300003698,,False
network-degrade-probe,2026-09-05T22:36:28.486082,2.3053537999949185,,False
network-degrade-probe,2026-09-05T22:36:29.486088,2.2894795999891357,,False
network-degrade-probe,2026-09-05T22:36:30.498932,2.2660073000006378,,False
network-degrade-probe,2026-09-05T22:36:31.489914,2.295813700009603,,False
network-degrade-probe,2026-09-05T22:36:32.490638,2.2918981999973767,,False
network-degrade-probe,2026-09-05T22:36:33.490987,2.2747234999987995,,False
network-degrade-probe,2026-09-05T22:36:34.498154,2.2844335999980103,,False
network-degrade-probe,2026-09-05T22:36:35.489494,2.2762195999966934,,False
network-degrade-probe,2026-09-05T22:36:36.491129,2.2767036000004737,,False
network-degrade-probe,2026-09-05T22:36:37.491618,2.291235199998482,,False
network-degrade-probe,2026-09-05T22:36:38.491612,2.29191329999594,,False
network-degrade-probe,2026-09-05T22:36:39.490588,2.284122099998058,,False
network-degrade-probe,2026-09-05T22:36:40.499061,2.291099400012172,,False
network-degrade-probe,2026-09-05T22:36:41.490745,2.2853105000103824,,False
network-degrade-probe,2026-09-05T22:36:42.492849,2.2801523999951314,,False
network-degrade-probe,2026-09-05T22:36:43.498228,2.275794799992582,,False
network-degrade-probe,2026-09-05T22:36:44.489648,2.275150699992082,,False
network-degrade-probe,2026-09-05T22:36:45.490578,2.27511040000536,,False
network-degrade-probe,2026-09-05T22:36:46.489103,2.275465799990343,,False
network-degrade-probe,2026-09-05T22:36:47.490294,2.2766662999929395,,False
network-degrade-probe,2026-09-05T22:36:48.490220,2.274701100002858,,False
network-degrade-probe,2026-09-05T22:36:49.492925,2.263440399998217,,False
network-degrade-probe,2026-09-05T22:36:50.489165,2.2669661000109045,,False
network-degrade-probe,2026-09-05T22:36:51.490318,2.274710599987884,,False
network-degrade-probe,2026-09-05T22:36:52.489740,2.274896600007196,,False
network-degrade-probe,2026-09-05T22:36:53.490167,2.274481200001901,,False
network-degrade-probe,2026-09-05T22:36:54.490115,2.267043300002115,,False
network-degrade-probe,2026-09-05T22:36:55.489903,2.274912000008044,,False
network-degrade-probe,2026-09-05T22:36:56.490455,2.282121800002642,,False
network-degrade-probe,2026-09-05T22:36:57.489114,2.2679630999919027,,False
network-degrade-probe,2026-09-05T22:36:58.486442,2.328906900002039,,False
network-degrade-probe,2026-09-05T22:36:59.491797,2.273133399998187,,False
network-degrade-probe,2026-09-05T22:37:00.488976,2.2757187000097474,,False
network-degrade-probe,2026-09-05T22:37:01.489628,2.274980300004245,,False
network-degrade-probe,2026-09-05T22:37:02.489725,2.274993600003654,,False
network-degrade-probe,2026-09-05T22:37:03.489672,2.2667051999887917,,False
network-degrade-probe,2026-09-05T22:37:04.490001,2.274495300007402,,False
network-degrade-probe,2026-09-05T22:37:05.490662,2.2863257999997586,,False
network-degrade-probe,2026-09-05T22:37:06.489623,2.2738316000031773,,False
network-degrade-probe,2026-09-05T22:37:07.500912,2.280816099999356,,False
network-degrade-probe,2026-09-05T22:37:08.485287,2.271154000001843,,False
network-degrade-probe,2026-09-05T22:37:09.492648,2.2773891000106232,,False
network-degrade-probe,2026-09-05T22:37:10.491067,2.278945099998964,,False
network-degrade-probe,2026-09-05T22:37:11.487100,2.288860599990585,,False
network-degrade-probe,2026-09-05T22:37:12.486814,2.3087894000054803,,False
network-degrade-probe,2026-09-05T22:37:13.487069,2.281451000002562,,False
network-degrade-probe,2026-09-05T22:37:14.485651,2.281677999999374,,False
network-degrade-probe,2026-09-05T22:37:15.487161,2.2895635000022594,,False
network-degrade-probe,2026-09-05T22:37:16.487655,2.289492900003097,,False
network-degrade-probe,2026-09-05T22:37:17.494278,2.3002296999911778,,False
network-degrade-probe,2026-09-05T22:37:18.492708,2.28161910000199,,False
network-degrade-probe,2026-09-05T22:37:19.493583,2.283019599999534,,False
network-degrade-probe,2026-09-05T22:37:20.485696,2.282949300002656,,False
network-degrade-probe,2026-09-05T22:37:21.499466,2.2880827999906614,,False
network-degrade-probe,2026-09-05T22:37:22.498368,2.299416999987443,,False
network-degrade-probe,2026-09-05T22:37:23.485430,2.27653879999707,,False
network-degrade-probe,2026-09-05T22:37:24.500308,2.2990161999914562,,False
network-degrade-probe,2026-09-05T22:37:25.491171,2.2906514999922365,,False
network-degrade-probe,2026-09-05T22:37:26.485585,2.2728883999952814,,False
network-degrade-probe,2026-09-05T22:37:27.498809,2.2851076000079047,,False
network-degrade-probe,2026-09-05T22:37:28.493381,2.281224199992721,,False
network-degrade-probe,2026-09-05T22:37:29.496531,2.278211299999384,,False
network-degrade-probe,2026-09-05T22:37:30.497110,2.28416450000077,,False
network-degrade-probe,2026-09-05T22:37:31.490662,2.275814499997068,,False
network-degrade-probe,2026-09-05T22:37:32.485649,2.2890187000011792,,False
network-degrade-probe,2026-09-05T22:37:33.498363,2.2726040000125067,,False
network-degrade-probe,2026-09-05T22:37:34.491528,2.297283599997172,,False
network-degrade-probe,2026-09-05T22:37:35.497044,2.305701699995552,,False
network-degrade-probe,2026-09-05T22:37:36.486356,2.298570099999779,,False
network-degrade-probe,2026-09-05T22:37:37.495071,2.2867180000030203,,False
network-degrade-probe,2026-09-05T22:37:38.497658,2.277166500003659,,False
network-degrade-probe,2026-09-05T22:37:39.488362,2.28304599999683,,False
network-degrade-probe,2026-09-05T22:37:40.492714,2.2842559999990044,,False
network-degrade-probe,2026-09-05T22:37:41.497318,2.2870960000000196,,False
network-degrade-probe,2026-09-05T22:37:42.498223,2.2862819000001764,,False
network-degrade-probe,2026-09-05T22:37:43.490024,2.2977959000127157,,False
network-degrade-probe,2026-09-05T22:37:44.485602,2.2963223999977345,,False
network-degrade-probe,2026-09-05T22:37:45.495719,2.2873172999970848,,False
network-degrade-probe,2026-09-05T22:37:46.497467,2.284581200001412,,False
network-degrade-probe,2026-09-05T22:37:47.500016,2.293588100001216,,False
network-degrade-probe,2026-09-05T22:37:48.492440,2.305802200004109,,False
network-degrade-probe,2026-09-05T22:37:49.486002,2.297500400003628,,False
network-degrade-probe,2026-09-05T22:37:50.494720,2.280688499988173,,False
network-degrade-probe,2026-09-05T22:37:51.494100,2.292230999999447,,False
network-degrade-probe,2026-09-05T22:37:52.491091,2.298720599996159,,False
network-degrade-probe,2026-09-05T22:37:53.486694,2.2827352000022074,,False
network-degrade-probe,2026-09-05T22:37:54.498072,2.3094118000008166,,False
network-degrade-probe,2026-09-05T22:37:55.493857,2.3044384000095306,,False
network-degrade-probe,2026-09-05T22:37:56.486745,2.2887564999982715,,False
network-degrade-probe,2026-09-05T22:37:57.494665,2.2975232000026153,,False
network-degrade-probe,2026-09-05T22:37:58.494601,2.2871181999944383,,False
network-degrade-probe,2026-09-05T22:37:59.494736,2.296198900003219,,False
network-degrade-probe,2026-09-05T22:38:00.497971,2.2777471999870613,,False
network-degrade-probe,2026-09-05T22:38:01.489497,2.2934893000056036,,False
network-degrade-probe,2026-09-05T22:38:02.486210,2.27240420000453,,False
network-degrade-probe,2026-09-05T22:38:03.501301,2.289671599995927,,False
network-degrade-probe,2026-09-05T22:38:04.486822,2.2829913000023225,,False
network-degrade-probe,2026-09-05T22:38:05.488143,2.291283599988674,,False
network-degrade-probe,2026-09-05T22:38:06.501502,2.2823183000000427,,False
network-degrade-probe,2026-09-05T22:38:07.491779,2.291236299992306,,False
network-degrade-probe,2026-09-05T22:38:08.485470,2.2965002999990247,,False
network-degrade-probe,2026-09-05T22:38:09.493864,2.286054199998034,,False
network-degrade-probe,2026-09-05T22:38:10.489322,2.2872963000118034,,False
network-degrade-probe,2026-09-05T22:38:11.487488,2.2990926999918884,,False
network-degrade-probe,2026-09-05T22:38:12.500222,2.2887635999941267,,False
network-degrade-probe,2026-09-05T22:38:13.491671,2.288831099998788,,False
network-degrade-probe,2026-09-05T22:38:14.489001,2.267442199998186,,False
network-degrade-probe,2026-09-05T22:38:15.489684,2.2761896000010893,,False
network-degrade-probe,2026-09-05T22:38:16.489199,2.2840428999916185,,False
network-degrade-probe,2026-09-05T22:38:17.490976,2.27496290000272,,False
network-degrade-probe,2026-09-05T22:38:18.489969,2.2900881999958074,,False
network-degrade-probe,2026-09-05T22:38:19.490001,2.284002500004135,,False
network-degrade-probe,2026-09-05T22:38:20.489435,2.2684903999906965,,False
network-degrade-probe,2026-09-05T22:38:21.490336,2.2737281000008807,,False
network-degrade-probe,2026-09-05T22:38:22.490996,2.283245700004045,,False
network-degrade-probe,2026-09-05T22:38:23.488572,2.285254700007499,,False
network-degrade-probe,2026-09-05T22:38:24.490800,2.2664668999932474,,False
network-degrade-probe,2026-09-05T22:38:25.489837,2.2825674999912735,,False
network-degrade-probe,2026-09-05T22:38:26.489806,2.2764019000023836,,False
network-degrade-probe,2026-09-05T22:38:27.489893,2.2821791999886045,,False
network-degrade-probe,2026-09-05T22:38:28.497838,2.275499800001853,,False
network-degrade-probe,2026-09-05T22:38:29.490037,2.2835894000018016,,False
network-degrade-probe,2026-09-05T22:38:30.488823,2.2676388000109,,False
network-degrade-probe,2026-09-05T22:38:31.490197,2.2745954999991227,,False
network-degrade-probe,2026-09-05T22:38:32.489080,2.2756130999914603,,False
network-degrade-probe,2026-09-05T22:38:33.488703,2.284055399999488,,False
network-degrade-probe,2026-09-05T22:38:34.487774,2.2832438000041293,,False
network-degrade-probe,2026-09-05T22:38:35.494875,2.27736370000639,,False
network-degrade-probe,2026-09-05T22:38:36.485432,2.279978199992911,,False
network-degrade-probe,2026-09-05T22:38:37.486208,2.2697096999909263,,False
network-degrade-probe,2026-09-05T22:38:38.489936,2.274728899996262,,False
network-degrade-probe,2026-09-05T22:38:39.488376,2.29265000000305,,False
network-degrade-probe,2026-09-05T22:38:40.497590,2.300663900008658,,False
network-degrade-probe,2026-09-05T22:38:41.498476,2.2820034999895142,,False
network-degrade-probe,2026-09-05T22:38:42.490424,2.2918848000117578,,False
network-degrade-probe,2026-09-05T22:38:43.489598,2.2927256999973906,,False
network-degrade-probe,2026-09-05T22:38:44.489152,2.2934375000040745,,False
network-degrade-probe,2026-09-05T22:38:45.488801,2.2838210000045365,,False
network-degrade-probe,2026-09-05T22:38:46.497640,2.2752270000055432,,False
network-degrade-probe,2026-09-05T22:38:47.488783,2.284105600003386,,False
network-degrade-probe,2026-09-05T22:38:48.488479,2.2847163999977056,,False
network-degrade-probe,2026-09-05T22:38:49.497703,2.275513400003547,,False
network-degrade-probe,2026-09-05T22:38:50.489605,2.2746829999960028,,False
network-degrade-probe,2026-09-05T22:38:51.488293,2.276026899999124,,False
network-degrade-probe,2026-09-05T22:38:52.489304,2.2753880999953253,,False
network-degrade-probe,2026-09-05T22:38:53.489860,2.2660189000016544,,False
network-degrade-probe,2026-09-05T22:38:54.492364,2.263969100007671,,False
network-degrade-probe,2026-09-05T22:38:55.489664,2.2915042999957222,,False
network-degrade-probe,2026-09-05T22:38:56.488221,2.276441399997566,,False
network-degrade-probe,2026-09-05T22:38:57.488726,2.2834035999985645,,False
network-degrade-probe,2026-09-05T22:38:58.488210,2.2750009000010323,,False
network-degrade-probe,2026-09-05T22:38:59.489583,2.281953199999407,,False
network-degrade-probe,2026-09-05T22:39:00.489899,2.2750181000010343,,False
network-degrade-probe,2026-09-05T22:39:01.489657,2.2831748999888077,,False
network-degrade-probe,2026-09-05T22:39:02.490319,2.274907200000598,,False
network-degrade-probe,2026-09-05T22:39:03.488503,2.2838325000047917,,False
network-degrade-probe,2026-09-05T22:39:04.489788,2.2749344000039855,,False
network-degrade-probe,2026-09-05T22:39:05.489868,2.2751327000005404,,False
network-degrade-probe,2026-09-05T22:39:06.488277,2.2774165000009816,,False
network-degrade-probe,2026-09-05T22:39:07.489370,2.282718100002967,,False
network-degrade-probe,2026-09-05T22:39:08.496971,2.2836444999993546,,False
network-degrade-probe,2026-09-05T22:39:09.489646,2.299787000010838,,False
network-degrade-probe,2026-09-05T22:39:10.489917,2.2756230999948457,,False
network-degrade-probe,2026-09-05T22:39:11.487570,2.2848388999991585,,False
network-degrade-probe,2026-09-05T22:39:12.489453,2.2743262000003597,,False
network-degrade-probe,2026-09-05T22:39:13.488617,2.2844842999911634,,False
network-degrade-probe,2026-09-05T22:39:14.489170,2.2827920999989146,,False
network-degrade-probe,2026-09-05T22:39:15.489125,2.274896599992644,,False
network-degrade-probe,2026-09-05T22:39:16.489873,2.2853243999998085,,False
network-degrade-probe,2026-09-05T22:39:17.489363,2.291618599992944,,False
network-degrade-probe,2026-09-05T22:39:18.487741,2.2843839999986812,,False
network-degrade-probe,2026-09-05T22:39:19.488993,2.2765620999998646,,False
network-degrade-probe,2026-09-05T22:39:20.489334,2.2767301999992924,,False
network-degrade-probe,2026-09-05T22:39:21.490521,2.2902956000034465,,False
network-degrade-probe,2026-09-05T22:39:22.489939,2.2749287000042386,,False
network-degrade-probe,2026-09-05T22:39:23.488866,2.275643699991633,,False
network-degrade-probe,2026-09-05T22:39:24.488057,2.283402799992473,,False
network-degrade-probe,2026-09-05T22:39:25.488416,2.2743012999999337,,False
network-degrade-probe,2026-09-05T22:39:26.487645,2.267612800002098,,False
network-degrade-probe,2026-09-05T22:39:27.487771,2.2763067000050796,,False
network-degrade-probe,2026-09-05T22:39:28.486447,2.2616419999976642,,False
network-degrade-probe,2026-09-05T22:39:29.489983,2.2890253999939887,,False
network-degrade-probe,2026-09-05T22:39:30.488199,2.2746560999948997,,False
network-degrade-probe,2026-09-05T22:39:31.488963,2.2586140999919735,,False
network-degrade-probe,2026-09-05T22:39:32.488805,2.284742899995763,,False
network-degrade-probe,2026-09-05T22:39:33.489081,2.2738747999974294,,False
network-degrade-probe,2026-09-05T22:39:34.489146,2.284643100007088,,False
network-degrade-probe,2026-09-05T22:39:35.489177,2.28350030000729,,False
network-degrade-probe,2026-09-05T22:39:36.491145,2.280202099995222,,False
network-degrade-probe,2026-09-05T22:39:37.489112,2.274660600000061,,False
network-degrade-probe,2026-09-05T22:39:38.487920,2.2637867000012193,,False
network-degrade-probe,2026-09-05T22:39:39.489252,2.282473100000061,,False
network-degrade-probe,2026-09-05T22:39:40.489093,2.284248600000865,,False
network-degrade-probe,2026-09-05T22:39:41.489333,2.283439199993154,,False
network-degrade-probe,2026-09-05T22:39:42.490351,2.2722409999987576,,False
network-degrade-probe,2026-09-05T22:39:43.488662,2.275904599999194,,False
network-degrade-probe,2026-09-05T22:39:44.488868,2.2684854000108317,,False
network-degrade-probe,2026-09-05T22:39:45.488697,2.283907899996848,,False
network-degrade-probe,2026-09-05T22:39:46.489874,2.2749148000002606,,False
network-degrade-probe,2026-09-05T22:39:47.489527,2.2831833000091137,,False
network-degrade-probe,2026-09-05T22:39:48.489228,2.275255400003516,,False
network-degrade-probe,2026-09-05T22:39:49.489225,2.2755214999924647,,False
network-degrade-probe,2026-09-05T22:39:50.489201,2.2824244999937946,,False
network-degrade-probe,2026-09-05T22:39:51.490661,2.273803799995221,,False
network-degrade-probe,2026-09-05T22:39:52.489111,2.283043399991584,,False
network-degrade-probe,2026-09-05T22:39:53.489241,2.2814501999964705,,False
network-degrade-probe,2026-09-05T22:39:54.488350,2.2911282999994,,False
network-degrade-probe,2026-09-05T22:39:55.489125,2.2835159999958705,,False
network-degrade-probe,2026-09-05T22:39:56.489227,2.2762258000002475,,False
network-degrade-probe,2026-09-05T22:39:57.488650,2.2839804000104778,,False
network-degrade-probe,2026-09-05T22:39:58.487313,2.2680818000080762,,False
network-degrade-probe,2026-09-05T22:39:59.488908,2.274567599990405,,False
network-degrade-probe,2026-09-05T22:40:00.487513,2.28504069999326,,False
network-degrade-probe,2026-09-05T22:40:01.489935,2.2907841999985976,,False
network-degrade-probe,2026-09-05T22:40:02.487560,2.2692881999973906,,False
network-degrade-probe,2026-09-05T22:40:03.489093,2.274339299998246,,False
network-degrade-probe,2026-09-05T22:40:04.489739,2.2748311000032118,,False
network-degrade-probe,2026-09-05T22:40:05.487359,2.276769299991429,,False
network-degrade-probe,2026-09-05T22:40:06.488752,2.2742772000055993,,False
network-degrade-probe,2026-09-05T22:40:07.488954,2.275790200001211,,False
network-degrade-probe,2026-09-05T22:40:08.488798,2.274500100000296,,False
network-degrade-probe,2026-09-05T22:40:09.488672,2.289155299993581,,False
network-degrade-probe,2026-09-05T22:40:10.492553,2.2753877000068314,,False
network-degrade-probe,2026-09-05T22:40:11.502067,2.2968581000022823,,False
network-degrade-probe,2026-09-05T22:40:12.498285,2.2956517999991775,,False
network-degrade-probe,2026-09-05T22:40:13.495541,2.2826696999982232,,False
network-degrade-probe,2026-09-05T22:40:14.498400,2.2713706999929855,,False
